umbrella,n.,雨伞
please,int.,请
here,adv.,这里
my,pron.,我的
ticket,n.,票
number,n.,号码；数字
five,n.,五
sorry,int.,对不起
sir,n.,先生
suit,n.,西装；套装
school,n.,学校
teacher,n.,老师
son,n.,儿子
daughter,n.,女儿
Miss,n.,小姐
new,adj.,新的
student,n.,学生
French,adj.,法国的
French,n.,法语
nice,adj.,好的；不错的
meet,v.,遇见；见面
Chinese,adj.,中国的
Chinese,n.,中文
too,adv.,也；太
make,n.,品牌；型号
make,v.,制造；做
English,adj.,英国的；英语的
English,n.,英语
I,pron.,我
am,v.,是
are,v.,是
name,n.,名字
what,pron.,什么
job,n.,工作；职业
engineer,n.,工程师
postman,n.,邮递员；邮差
nurse,n.,护士
hello,int.,你好
how,adv.,怎样；如何
today,n.,今天
well,adj.,健康的
well,adv.,好地
fine,adj.,好的；不错的
goodbye,int.,再见
see,v.,看见
fat,adj.,胖的
woman,n.,女人
thin,adj.,瘦的
tall,adj.,高的
short,adj.,矮的；短的
dirty,adj.,脏的
clean,adj.,干净的
clean,v.,打扫
hot,adj.,热的
cold,adj.,冷的
old,adj.,老的；旧的
young,adj.,年轻的
busy,adj.,忙的
lazy,adj.,懒的
whose,pron.,谁的
blue,adj.,蓝色的
perhaps,adv.,也许；可能
white,adj.,白色的
catch,v.,抓住；赶上
father,n.,父亲；爸爸
mother,n.,母亲；妈妈
sister,n.,姐妹
tie,n.,领带
tie,v.,绑；系
brother,n.,兄弟
his,pron.,他的
her,pron.,她的
green,adj.,绿色的
come,v.,来
upstairs,adv.,楼上
smart,adj.,聪明的；时髦的
hat,n.,帽子
same,adj.,相同的
case,n.,箱子；情况；案例
dog,n.,狗
girl,n.,女孩
friend,n.,朋友
passport,n.,护照
brown,adj.,棕色的；褐色的
tourist,n.,游客
these,pron.,这些
red,adj.,红色的
yellow,adj.,黄色的
black,adj.,黑色的
orange,n.,橙子
orange,adj.,橙色的
man,n.,男人
office,n.,办公室
assistant,n.,助理；助手
matter,n.,事情；问题
matter,v.,要紧
tired,adj.,累的；疲劳的
boy,n.,男孩
thirsty,adj.,口渴的
right,adj.,对的；右边的
right,n.,权利
big,adj.,大的
small,adj.,小的
open,v.,打开
open,adj.,开着的
shut,v.,关闭
shut,adj.,关着的
light,n.,灯；光
light,adj.,轻的；浅色的
heavy,adj.,重的
long,adj.,长的
shoe,n.,鞋
give,v.,给
one,n.,一个
which,pron.,哪个
empty,adj.,空的
full,adj.,满的
large,adj.,大的
little,adj.,小的；少量的
box,n.,盒子；箱子
glass,n.,玻璃杯；玻璃
cup,n.,杯子
bottle,n.,瓶子
knife,n.,刀
fork,n.,叉
spoon,n.,勺子；汤匙
on,prep.,在…上面
shelf,n.,架子
desk,n.,书桌
table,n.,桌子
plate,n.,盘子
cupboard,n.,橱柜
cigarette,n.,香烟
floor,n.,地板；楼层
magazine,n.,杂志
bed,n.,床
newspaper,n.,报纸
kitchen,n.,厨房
refrigerator,n.,冰箱
right,adv.,右边
electric,adj.,电的
left,n.,左边
left,adj.,左边的
middle,n.,中间
of,prep.,…的
room,n.,房间
in,prep.,在…里面
near,prep.,在…附近
window,n.,窗户
door,n.,门
picture,n.,图片；照片；画
wall,n.,墙
must,v.,必须
