Danish,adj.,丹麦的
dust,n.,灰尘
dust,v.,除尘
like,v.,喜欢
like,prep.,像
Indian,adj.,印度的
Indian,n.,印度人
keep,v.,保持；保存
list,n.,清单；列表
leave,v.,离开；留下
Stockholm,n.,斯德哥尔摩
slip,v.,滑倒
ring,v.,按铃；打电话
ring,n.,戒指
mean,v.,意思是
mean,adj.,刻薄的
ring,n.,戒指；铃声
solid,adj.,固体的；坚固的
standard,n.,标准
content,n.,内容；满足
content,adj.,满足的
confine,v.,限制；禁闭
port,n.,港口
wreck,n.,残骸
ring,n.,场地；圈
precaution,n.,预防措施
splendid,adj.,极好的；壮丽的
process,v.,加工；处理
appetite,n.,食欲；胃口
slip,v.,滑倒；纸条
chip,n.,薯片；芯片
shark,n.,鲨鱼
cod,n.,鳕鱼
archaeologist,n.,考古学家
drainage,n.,排水系统
identity,n.,身份
abandon,v.,抛弃；放弃
plunge,v.,投入；跳入
capacity,n.,容量；能力
current,n.,水流；电流
current,adj.,当前的
pioneer,n.,先驱；先锋
luxury,n.,奢侈品；奢华
despise,v.,鄙视
fit,v.,安装；适合
fit,adj.,健康的
grudge,n.,怨恨
assail,v.,攻击；质问
alongside,prep.,在…旁边
fascination,n.,魅力；着迷
court,n.,法庭
accord,n.,协议；一致
chip,v.,削下；凿下
odd,adj.,奇怪的；奇数的
bewilder,v.,使迷惑
deduce,v.,推断
assumption,n.,假设
crack,n.,裂缝
crack,v.,裂开
ironically,adv.,讽刺地
chasm,n.,裂口；峡谷
haul,v.,拖；拉
torrent,n.,激流
rhythm,n.,节奏
democratic,adj.,民主的
assemble,v.,组装；集合
maximum,n.,最大值
maximum,adj.,最大的
inaccessible,adj.,难以到达的
delicate,adj.,精致的；脆弱的
astronomical,adj.,天文学的；巨大的
particle,n.,粒子；微粒
oxygen,n.,氧气
realm,n.,领域；王国
unduly,adv.,过度地
alien,n.,外星人
alien,adj.,外国的
monstrous,adj.,巨大的；可怕的
specimen,n.,标本；样本
boredom,n.,无聊
fossil man,n.,化石人
recount,v.,叙述；讲述
saga,n.,传说；长篇故事
legend,n.,传说
migration,n.,迁徙；移居
anthropologist,n.,人类学家
ancestor,n.,祖先
Polynesian,adj.,波利尼西亚的
Indonesia,n.,印度尼西亚
flint,n.,燧石；打火石
rot,v.,腐烂
beast,n.,野兽
census,n.,人口普查
acre,n.,英亩
Matterhorn,n.,马特洪峰
alpinist,n.,登山家
summit,n.,顶峰；峰会
attain,v.,达到；获得
perilous,adj.,危险的
shudder,v.,颤抖；发抖
court,n.,法庭；球场
solitary,adj.,孤独的；单独的
impoverish,v.,使贫穷
Alpine,adj.,阿尔卑斯山的
flea-ridden,adj.,长满跳蚤的
coarse,adj.,粗糙的；粗俗的
boast,v.,吹牛；夸耀
parishioner,n.,教区居民
shepherd,n.,牧羊人
linen,n.,亚麻布
the Alps,n.,阿尔卑斯山脉
safe,n.,保险箱
Ulyanovsk,n.,乌里扬诺夫斯克
commission,v.,委托；委任
opaque,adj.,不透明的
lotto,n.,乐透；彩票
slipper,n.,拖鞋
blindfold,n.,眼罩
blindfold,v.,蒙住眼睛
leave,n.,假期；许可
fundamentals,n.,基本原理；基础
glorious,adj.,光荣的；辉煌的
rub,n.,困难；障碍
dreary,adj.,沉闷的；枯燥的
commitment,n.,承诺；投入
mean,n.,平均值；方法
social climber,n.,向上爬的人；攀龙附凤者
devotion,n.,奉献；忠诚
cosmic,adj.,宇宙的
suburban,adj.,郊区的
conceited,adj.,自负的
presumptuous,adj.,放肆的；冒昧的
fatuous,adj.,愚蠢的；昏庸的
cliché,n.,陈词滥调
goodwill,n.,善意；友好
cricket,n.,板球
inclination,n.,倾向；意愿
contest,n.,比赛；竞赛
orgy,n.,狂欢；纵欲
competitive,adj.,有竞争力的；好胜的
patriotism,n.,爱国主义；爱国精神
disgrace,n.,耻辱；丢脸
savage,adj.,野蛮的；残忍的
combative,adj.,好斗的
mimic warfare,n.,模拟战争
behaviour,n.,行为；举止
absurd,adj.,荒谬的
bat,n.,蝙蝠；球棒
strictly,adv.,严格地
utilitarian,adj.,实用的；功利的
appreciation,n.,欣赏；感激
obstruction,n.,障碍；阻碍
elapse,v.,(时间)流逝
hull,n.,船体
interval,n.,间隔；间歇
receipt,n.,收据
apparatus,n.,仪器；设备
shoal,n.,鱼群
herring,n.,鲱鱼
squeak,v.,发出吱吱声
slaughter,n.,屠杀
fit,n.,一阵发作
grace,n.,优雅；恩典
tariff,n.,关税
dialysis,n.,透析
electrocute,v.,使触电身亡
eliminate,v.,消除；淘汰
device,n.,设备；装置
hammer out,v.,敲定；达成
pact,n.,协定；条约
espionage,n.,间谍活动
Alfred,n.,阿尔弗雷德
minstrel,n.,游吟诗人
wandering,adj.,漫游的；流浪的
harp,n.,竖琴
ballad,n.,民谣；叙事诗
acrobatic,adj.,杂技的
conjuring,n.,变戏法；魔术
Athelney,n.,阿塞尔纳
Chippenham,n.,奇彭纳姆
thither,adv.,到那里
Dane,n.,丹麦人
slack,adj.,松懈的；萧条的
conqueror,n.,征服者
casual,adj.,随意的；偶然的
proceeds,n.,收入；收益
assemble,v.,集合；组装
trivial,adj.,琐碎的；不重要的
prolonged,adj.,持久的；长时间的
commissariat,n.,军需部
harry,v.,骚扰；侵扰
skirmish,n.,小冲突
episode,n.,一集；一段经历
epic,n.,史诗
epic,adj.,史诗般的；宏大的
silicon,n.,硅
California,n.,加利福尼亚
workstation,n.,工作站
chip,n.,芯片；薯片
newsletter,n.,时事通讯；简报
Macintosh,n.,麦金塔电脑
penalize,v.,处罚
customize,v.,定制
spawn,v.,产卵；引发
