Résistance,n.f.,(二战期间)法国抵抗运动
file,n.f.,队；行列
parrainage,n.m.,赞助；支持；推荐
dodo,n.m.,(儿语)睡觉
joujou,n.m.,(儿童)玩具
acquis,adj.,已获得的；既有的
copine,n.f.,女朋友；女性朋友；闺蜜
fuselage,n.m.,(飞机)机身
pare-brise,n.m.,挡风玻璃
pare-chocs,n.m.,(汽车)保险杠
doper,v.,给…服兴奋剂；刺激；掺添加剂
tranche,n.f.,薄片；部分；阶段
hanap,n.m.,(中世纪)有盖高脚杯
lai,n.m.,(中世纪)抒情短诗
goutte,n.f.,(一)滴
jus,n.m.,果汁；肉汁
faux-filet,n.m.,西冷；西冷牛排
en,prep.,在…(里)；以…(方式)；乘坐
carriériste,n.,事业心重的人；野心家
appartement,n.m.,公寓；套房
arrondissement,n.m.,(行政)区
prospectus,n.m.,广告传单；简介
avoir un faible pour,phrase,偏爱；对…有好感
cohorte,n.f.,(古罗马)步兵大队；<转>一群人
amphithéâtre,n.m.,(古罗马)圆形剧场；阶梯教室
imprésario,n.m.,(旧)演出经纪人
petit-écran,n.m.,电视屏幕；电视
tonalité,n.f.,(电话)拨号音；音调；色调
tournage,n.m.,(电影)拍摄
poste restante,n.f.,待领邮件
à point,phrase,(烹饪)熟度适中；恰好
petit-fils,n.m.,孙子；外孙
petite-fille,n.f.,孙女；外孙女
grand-père,n.m.,祖父；外祖父；爷爷；外公
grands-parents,n.m.,祖父母；外祖父母
grand-mère,n.f.,祖母；外祖母；奶奶；外婆
faucon,n.m.,隼；鹰
baratin,n.m.,(口语)花言巧语
faire-part,n.m.,(婚丧等的)通知书；请柬
hochet,n.m.,(婴儿)摇铃；拨浪鼓
gueule,n.f.,(动物的)嘴；<俗>脸；嘴巴
happer,v.,(猛地)抓住；攫取
corne,n.f.,(动物的)角；号角
flamand,adj.,佛兰德的；弗拉芒的
tramontane,n.f.,(地中海)北风
engrenage,n.m.,齿轮装置；连锁反应；困境
taille d'établissement,n.f.,企业规模；机构规模
baignade,n.f.,游泳；沐浴
naufragé,adj.,(海难)失事的；遇难的
poudroiement,n.m.,尘土飞扬
coulis,n.m.,(过滤的)浓汁；酱汁
berge,n.f.,河岸；堤岸
facette,n.f.,(多面体的)小平面；方面
pan,n.m.,面；(墙的)一面
crotte,n.f.,(羊、兔等的)粪便
aide de camp,n.m.,副官
dénouement,n.m.,(故事、戏剧的)结局
dossard,n.m.,(运动员的)号码布
négoce,n.m.,(大宗)贸易；交易
s'épanouir,v.,(花)绽放；舒展；开朗起来
banquise,n.f.,(极地)冰盖；大浮冰
anorak,n.m.,连帽滑雪外套
antériorité,n.f.,在先；优先
prolongation,n.f.,延长；延长期；(比赛)加时
copain,n.m.,男朋友；男性朋友；哥们
pardessus,n.m.,男式大衣
bouffée,n.f.,(喷出的)一口(烟、气)；一阵(风、热)
dopage,n.m.,服用禁药(兴奋剂)
dopant,n.m.,兴奋剂；禁药
avoir mal à,phrase,(身体部位)疼痛
amarre,n.f.,缆绳
essuie-glace,n.m.,(车窗)雨刮器
crête,n.f.,鸡冠；山脊
lampion,n.m.,纸灯笼
après,prep.,在…之后
hélas,int.,唉；哎呀
pirogue,n.f.,独木舟
fou,n.m.,(国际象棋)象；疯子
poêle,n.f.,平底煎锅
Corse,n.f.,科西嘉岛
Antenne 2,n.f.,(旧)法国电视二台
commune,n.f.,(法国行政)市镇；公社
SMIC,n.m.,(法国)跨行业最低工资
SMIG,n.m.,(法国旧时)最低保证工资
écu,n.m.,埃居(法国古货币)；盾牌
mistral,n.m.,密史脱拉风(法国南部强劲干冷风)
pissaladière,n.f.,尼斯洋葱塔
pétanque,n.f.,法式滚球
greffier,n.m.,(法院)书记员
cartable,n.m.,(学生)书包
évangile,n.m.,福音；福音书
cierge,n.m.,(教堂)大蜡烛
arriver à faire qch,phrase,终于做到某事；成功完成某事
félon,adj.,(封建时代对领主)不忠的
félon,n.,(封建时代)不忠的封臣；叛徒
tablette,n.f.,块状物(如巧克力)；平板电脑；搁板
polaire,adj.,极地的
cela ne vaut pas une pipette,phrase,(口语)一文不值
boulot,n.m.,(口语)工作；活儿
fauché,n.,(口语)穷光蛋；没钱的人
bâcler,v.,马虎了事；草草做完
chiper,v.,(口语)偷
traiteur,n.m.,熟食外卖店；承办宴席者
boîte de conserve,n.f.,罐头
tierce,n.f.,(音乐)三度音；(击剑)第三姿势
griffon,n.m.,(神话)狮鹫
ixion,n.m.,(神话)伊克西翁
pharaon,n.m.,法老
fac-similé,n.m.,复制品；传真
bronzé,adj.,晒成古铜色的
grande ligne,n.f.,(铁路)干线
du,adj.,一些(阳性单数)
lingère,n.f.,(负责布草的)女工
bagagiste,n.,行李员
brochette,n.f.,串；烤肉串
tartine,n.f.,涂酱面包片
troupeau,n.m.,畜群；兽群
habilleur,n.,(剧院)服装管理员
appuie-tête,n.m.,头枕；靠枕
parvis,n.m.,(教堂前)广场
testament,n.m.,遗嘱；《圣经》的“新约”或“旧约”
en,pron.,(指代de+名词)一些；其中
en,adv.,从那里
échouer,v.,失败；(船)搁浅
steward,n.m.,(飞机、轮船)男服务员
naufrage,n.m.,(海难)失事；遇难
cuissot,n.m.,(鹿、野猪等的)腿肉
étalage,n.m.,陈列；橱窗；炫耀
label,n.m.,标签；品牌认证
cyprès,n.m.,柏树
artichaut,n.m.,朝鲜蓟；洋蓟
coquelicot,n.m.,虞美人(花)
toque,n.f.,(厨师)高帽；无边女帽
interprofessionnel,adj.,跨行业的
atténuant,adj.,(指情节)可减轻的
bateau-mouche,n.m.,(巴黎塞纳河)观光船
tiercé,n.m.,(赛马)前三名独赢彩票
programmation,n.f.,节目编排；编程；计划
ouvreuse,n.f.,(影院)女引座员
fourrière,n.f.,(违章车辆)扣押场
Monoprix,n.m.,莫诺普利(法国超市名)
l'Humanité,n.f.,《人道报》
Le Parisien,n.m.,《巴黎人报》
Le Monde,n.m.,《世界报》
Genèse,n.f.,《创世记》
Le Matin,n.m.,《晨报》
Libération,n.f.,《解放报》
toison,n.f.,(浓密的)毛发；羊毛
entrecôte,n.f.,牛排骨肉；肋眼牛排
de son vivant,phrase,在(某人)生前
ça ne fait rien que,phrase,...也没关系
à l'exclusion de,phrase,除…以外
à l'issue de,phrase,在…结束时
issue de (à l'),phrase,在…结束时
à la tombée de,phrase,在…降临时
de,prep.,的；从；来自
sitôt que,conj.,一…就
dès que,conj.,一…就
d'un trait,phrase,一口气；一笔
trousseau,n.m.,一套钥匙；嫁妆；(新生儿)全套用品
bouchée,n.f.,一口(的量)
mille,n.m.,千
coup de foudre,n.m.,一见钟情
verdure,n.f.,绿色植物；绿意
janvier,n.m.,一月
d'une part... d'autre part,phrase,一方面…另一方面
couple,n.m.,一对；一双；夫妇
génération,n.f.,代；一代人
en un mot,phrase,总之；一句话
demi,adj.,一半的
moment,n.m.,片刻；瞬间；时刻
fournée,n.f.,一炉(面包)；一批(人)
morceau,n.m.,一块；一片；一首(乐曲)
poignée,n.f.,一把；少数；门把手
litanie,n.f.,一长串抱怨；(宗)连祷
promis,adj.,说定了；答应了的
des,adj.,一些(复数)
semestre,n.m.,半年；学期
un peu de,phrase,一点；一些
pas du tout,phrase,一点也不；根本不
mitre,n.f.,(主教)法冠；斜接
reinette,n.f.,一种脆甜苹果
courgette,n.f.,西葫芦；夏南瓜
lanier,n.m.,一种猎鹰
laps,n.m.,(时间的)流逝；间隔
pichet,n.m.,(带柄)壶；罐
identité,n.f.,身份；一致性
en général,phrase,总的来说；通常
généralement,adv.,通常；普遍地
communément,adv.,通常；普遍地
philtre,n.m.,迷药；春药
cuillerée,n.f.,一勺(的量)
plat,n.m.,盘子；一道菜
plat de côtes,n.m.,牛胸腹肉排
saccadé,adj.,断断续续的；顿挫的
jeter un coup d'œil,phrase,看一眼；瞥一眼
coup de main,n.m.,帮助；突袭
deux,n.m.,二
vingtaine,n.f.,二十左右
février,n.m.,二月
duo,n.m.,二重奏；二人组合
dioxyde,n.m.,二氧化物
dix,n.m.,十
décembre,n.m.,十二月
vivement,adv.,强烈地；急切地；万岁
octobre,n.m.,十月
décennie,n.f.,十年
croix,n.f.,十字；十字架
carrefour,n.m.,十字路口；家乐福(超市)
décuple,adj.,十倍的
juillet,n.m.,七月
personne,n.f.,人；任何人(与ne连用)
peuple,n.m.,人民；民族
démographique,adj.,人口的
entrée,n.f.,入口；门厅；前菜
population,n.f.,人口；居民
monde fou,n.m.,人山人海
sciences humaines,n.f.,人文科学
gens,n.m.,人们
passage piétons,n.m.,人行横道
trottoir,n.m.,人行道
personnel,adj.,个人的；亲自的
personnel,n.m.,全体人员；员工
terrestre,adj.,地球的；陆地的
personnage,n.m.,人物；角色
otage,n.m.,人质
ethnie,n.f.,族群
race,n.f.,种族；品种；比赛
envahisseur,n.m.,侵略者
humanité,n.f.,人类；人性；人道
humain,adj.,人的；有人情味的
personnalité,n.f.,个性；性格；名人
artificiel,adj.,人造的；虚假的
humanitaire,adj.,人道主义的
foule,n.f.,人群
immigration,n.f.,移民(入境)
immigrant,n.,(外来)移民
s'initier à,v.,入门；初步学习
envahir,v.,入侵；侵占；遍布
emprisonnement,n.m.,监禁
se mettre à table,phrase,入座吃饭
s'endormir,v.,睡着
août,n.m.,八月
neuf,n.m.,九
septembre,n.m.,九月
fils,n.m.,儿子
enfant,n.m.,孩子；儿童
puéril,adj.,幼稚的；孩子气的
